# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
51,0.866666712,-37.258663177,-32.397602081,+9.066847801,-4.029951572,-0.840082884,+0.638778687,-0.082801044,-0.055209633,+56.935577393,+56.935577393,+312.542938232,+4.069422245,+0.456847131,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
52,0.883333379,-37.042503357,-31.257457733,+9.015136719,-4.144291878,-0.834756970,+0.653218269,-0.082392119,-0.043956205,+71.254295349,+71.254295349,+360.044982910,+4.219934940,+0.374180764,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
53,0.900000047,-36.785003662,-30.367063522,+8.963332176,-4.273741722,-0.842605591,+0.669825554,-0.081718795,-0.054594986,+76.004501343,+76.004501343,+470.010375977,+4.302999020,+0.451362759,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
54,0.916666714,-36.485084534,-29.705966949,+8.909707069,-4.282000542,-0.850219727,+0.667109489,-0.081532188,-0.063106999,+87.001037598,+87.001037598,+499.241546631,+4.257013798,+0.396928847,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
55,0.933333382,-36.126808167,-29.293539047,+8.858679771,-4.335404873,-0.842176318,+0.671592712,-0.081183441,-0.079157718,+89.924156189,+89.924156189,+562.053955078,+4.032035828,+0.441274643,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
56,0.950000050,-35.786670685,-29.069238663,+8.810791969,-4.386326313,-0.830443084,+0.675838470,-0.081190206,-0.096936367,+96.205398560,+96.205398560,+550.179138184,+3.736225605,+0.376294702,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
57,0.966666717,-35.588787079,-29.035427094,+8.761099815,-4.511290550,-0.829764724,+0.691250801,-0.080256782,-0.123428389,-47.621593475,+95.017913818,+432.445007324,+3.219212532,+0.409836113,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
58,0.983333385,-34.971080780,-29.175384521,+8.721279144,-4.586044788,-0.831204832,+0.699559689,-0.080997393,-0.116858602,+83.244506836,+83.244506836,+490.614471436,+2.479166269,+0.372603595,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
59,1.000000052,-35.249675751,-29.418312073,+8.706072807,-4.675893307,-0.855018020,+0.712081909,-0.081107661,-0.133843616,+89.061439514,+89.061447144,+398.904296875,+3.811875582,+0.386281788,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
60,1.016666720,-35.258232117,-29.762619019,+8.682213783,-4.773066998,-0.871010244,+0.724956036,-0.081038877,-0.136338100,+79.890426636,+79.890426636,+314.687469482,+4.093969345,+0.388806254,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
61,1.033333387,-35.181564331,-30.207323074,+8.632460594,-4.828891754,-0.871496916,+0.729271889,-0.081164822,-0.143487990,+71.468750000,+71.468750000,+314.165283203,+3.998348713,+0.414075196,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
62,1.050000055,-35.217868805,-30.714700699,+8.567230225,-4.856767178,-0.861703753,+0.727959156,-0.081644461,-0.146513015,+71.416526794,+71.416526794,+296.316711426,+3.856832504,+0.384396493,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
63,1.066666722,-35.444126129,-31.276496887,+8.506524086,-4.943510056,-0.860048532,+0.735774040,-0.082022093,-0.160734296,+69.631668091,+69.631668091,+304.887512207,+3.738645315,+0.441146970,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
64,1.083333390,-35.844802856,-31.823543549,+8.459728241,-5.028218746,-0.866528273,+0.744328976,-0.082516283,-0.165645838,+70.488754272,+70.488754272,+271.033569336,+3.744514227,+0.437994957,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
65,1.100000057,-36.311801910,-32.315361023,+8.423476219,-5.128273487,-0.881736457,+0.755965233,-0.082867384,-0.168418974,+67.103355408,+67.103355408,+250.605285645,+3.819453239,+0.488869548,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
66,1.116666725,-36.710140228,-32.702117920,+8.387785912,-5.185687065,-0.898768365,+0.761235714,-0.083242223,-0.157943368,+65.060531616,+65.060531616,+194.621505737,+3.890007734,+0.457496971,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
67,1.133333392,-36.987495422,-32.986572266,+8.346329689,-5.254733086,-0.916646719,+0.767615318,-0.083397649,-0.145021141,+59.462150574,+59.462150574,+178.173126221,+3.916376591,+0.494605601,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
68,1.150000060,-37.111022949,-33.146713257,+8.298459053,-5.280474663,-0.930165529,+0.766972542,-0.083588801,-0.119920865,+57.817314148,+57.817314148,+136.744400024,+3.903527737,+0.441996098,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
69,1.166666728,-37.122272491,-33.205425262,+8.248531342,-5.330150604,-0.944555879,+0.769571304,-0.083503827,-0.111065291,+53.674438477,+53.674438477,+156.930877686,+3.884406805,+0.487036347,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
70,1.183333395,-37.045463562,-33.144454956,+8.199971199,-5.337315559,-0.958189189,+0.766075134,-0.083513215,-0.104664721,+55.693088531,+55.693088531,+142.496643066,+3.886462212,+0.435412914,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
71,1.200000063,-36.882884979,-32.996479034,+8.153270721,-5.366287231,-0.972408712,+0.765871048,-0.083229192,-0.114219442,+54.249660492,+54.249664307,+188.808563232,+3.887234926,+0.503076434,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
72,1.216666730,-36.627536774,-32.748619080,+8.107325554,-5.343647957,-0.983987689,+0.758323669,-0.083048210,-0.103105605,+58.880855560,+58.880859375,+171.686630249,+3.876273155,+0.440540016,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
73,1.233333398,-36.348552704,-32.450965881,+8.062284470,-5.394313335,-0.995640039,+0.761302948,-0.082560830,-0.105135754,+57.168663025,+57.168663025,+222.247283936,+3.855208635,+0.517344713,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
