# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=torus mode=4 steer=-1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
52,0.883333379,+12.825425148,+12.452732086,+7.292161942,+16.895351410,-0.214791179,-2.214882135,+0.037247930,+0.064601332,-65.263870239,+65.263870239,+24.785789490,-1.006932855,-0.066600397,+0.000000000,-0.027142256,+0.000000000,+0.006063920,+0.000000000,-0.000169153,7,13
53,0.900000047,+13.008419037,+12.584627151,+7.260456085,+17.036266327,-0.231145024,-2.224770784,+0.037226312,+0.003446357,-42.478580475,+42.478580475,+15.235843658,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,15
54,0.916666714,+13.152443886,+12.659051895,+7.260027409,+17.166765213,-0.207254261,-2.242740154,+0.037792008,+0.049666218,-58.133014679,+58.133014679,+64.597572327,-0.706268728,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,13
55,0.933333382,+13.385154724,+12.637269974,+7.238171577,+16.758399963,-0.184494615,-2.179599762,+0.038774937,+0.055561967,-46.459758759,+46.459758759,+52.700794220,+0.000000000,-0.264894187,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,14
56,0.950000050,+13.624136925,+12.611730576,+7.201930523,+16.659900665,-0.140138969,-2.155189991,+0.038106758,+0.004855519,-45.270080566,+45.270080566,+104.829986572,-0.775508285,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,13
57,0.966666717,+13.839151382,+12.497517586,+7.165865898,+16.283052444,-0.097536735,-2.093145370,+0.038775891,-0.021455515,-35.750907898,+70.676193237,+51.328491211,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,0,13
58,0.983333385,+13.897605896,+12.279527664,+7.146471024,+16.040229797,-0.080730960,-2.054649353,+0.038255628,-0.033232309,+45.132846832,+45.132850647,+60.227439880,-0.570969522,+0.034897421,+0.137205973,+0.000000000,+0.132443205,+0.000000000,+0.004297949,+0.000000000,5,14
59,1.000000052,+13.811925888,+12.314411163,+7.126146317,+16.134885788,-0.104323767,-2.061557770,+0.037890159,-0.020198140,-14.340929031,+46.022743225,+152.320770264,-0.018317118,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,1,15
60,1.016666720,+13.548113823,+12.176890373,+7.101741314,+15.218864441,+0.067721657,-1.932011604,+0.037967939,-0.003811831,-55.232078552,+55.232078552,+30.303535461,-0.679448366,+0.000000000,+0.020732159,+0.000000000,+0.004914019,+0.000000000,+0.000185028,+0.000000000,3,13
61,1.033333387,+13.185609818,+11.983333588,+7.080466747,+14.804422379,-0.014030532,-1.871324539,+0.037535511,-0.125742540,+60.242488861,+60.242492676,+37.908981323,+0.000000000,+0.015124578,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,3,14
