# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=sphere mode=0 steer=+1.000000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
58,0.983333385,+4.194376945,+4.919677258,+10.346954346,+1.604258895,+0.296017677,-0.289786339,+0.011864156,+0.087440446,+3.870820761,+45.086048126,+48.302539825,-0.934512496,+1.033583283,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
59,1.000000052,+4.047131538,+4.775138855,+10.343032837,+1.544222474,+0.295654297,-0.278830528,+0.011397118,+0.082354404,+12.861849785,+44.830253601,+46.876506805,-0.944993615,+1.035134077,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
60,1.016666720,+3.856703281,+4.559922218,+10.339424133,+1.477295160,+0.295819461,-0.266647339,+0.010807182,+0.077220954,+20.143949509,+44.687652588,+46.044845581,-0.955829740,+1.045735836,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
61,1.033333387,+3.633438349,+4.291450977,+10.335241318,+1.404017925,+0.295698643,-0.253313065,+0.010149492,+0.072589368,+24.349103928,+44.604484558,+44.855476379,-0.964992523,+1.055413961,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
62,1.050000055,+3.386384964,+4.004452705,+10.330532074,+1.323380589,+0.293397576,-0.238650322,+0.009540970,+0.067093164,+26.376909256,+44.485546112,+42.838912964,-0.983819485,+1.075305939,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
63,1.066666722,+3.117069244,+3.699180841,+10.325333595,+1.230572939,+0.292027146,-0.221796989,+0.008834982,+0.064524263,+21.754693985,+44.283889771,+41.684288025,-0.990723133,+1.086053610,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
64,1.083333390,+2.848214149,+3.406184196,+10.319267273,+1.129197121,+0.287279695,-0.203400612,+0.008162783,+0.061052106,+21.390970230,+44.168430328,+37.698474884,-0.990137577,+1.089117527,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
65,1.100000057,+2.598829508,+3.141621113,+10.313737869,+1.032344460,+0.279412270,-0.185851097,+0.007566823,+0.058244865,+16.540487289,+43.769847870,+34.437980652,-1.003045201,+1.096466422,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
66,1.116666725,+2.380378008,+2.917072058,+10.308969498,+0.940241039,+0.268513471,-0.169188499,+0.007076547,+0.056290396,+10.009988785,+43.443798065,+31.601633072,-0.996915758,+1.102611184,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
67,1.133333392,+2.199726105,+2.742656708,+10.304374695,+0.852258444,+0.255112052,-0.153285980,+0.006715790,+0.055531163,+1.247473836,+43.160163879,+29.726551056,-1.005097270,+1.109896779,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
68,1.150000060,+2.061880350,+2.621852636,+10.299349785,+0.771582663,+0.240007982,-0.138706207,+0.006474093,+0.055796340,-6.243173599,+42.972656250,+27.809312820,-1.003270388,+1.108660221,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
69,1.166666728,+1.970610261,+2.554043770,+10.291872025,+0.699488223,+0.224515200,-0.125653267,+0.006291124,+0.056465007,-17.975587845,+42.780929565,+28.621082306,-1.006761670,+1.107999802,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
