# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=+0.500000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
63,1.066666722,+31.599269867,+34.562725067,+9.624502182,+2.374507427,+0.806169689,-0.399096489,+0.080852635,+0.089326665,-69.196060181,+69.196060181,+291.454833984,-0.491785407,-2.174342632,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
64,1.083333390,+31.946899414,+33.252799988,+9.560675621,+2.577009201,+0.791155398,-0.430303574,+0.080826141,+0.147672907,-69.145484924,+69.145484924,+202.427383423,-0.450726688,-1.288182735,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
65,1.100000057,+32.300048828,+33.750476837,+9.534255028,+2.680785894,+0.788297653,-0.446419716,+0.080494337,+0.186222315,-60.242740631,+60.242736816,+134.076248169,-0.510603428,-1.960271120,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
66,1.116666725,+32.577899933,+33.818935394,+9.500840187,+2.698498011,+0.761799872,-0.447798729,+0.081099585,+0.210461140,-53.407623291,+53.407623291,+134.512969971,-0.519177556,-1.069620252,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
67,1.133333392,+32.758316040,+34.297431946,+9.439507484,+2.810435057,+0.747102737,-0.463392258,+0.081921451,+0.331377804,-53.451297760,+53.451297760,+137.074676514,-0.460498273,-1.216338873,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
68,1.150000060,+32.879310608,+35.838741302,+9.368560791,+2.937553167,+0.731784105,-0.480747223,+0.083119333,+0.351484567,-53.707466125,+53.707466125,+234.421432495,-0.458152771,-1.463237882,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
69,1.166666728,+32.916316986,+37.456272125,+9.313407898,+3.107600689,+0.735281706,-0.505635262,+0.083812818,+0.310312659,-63.442142487,+63.442146301,+334.080261230,-0.448890179,-1.688676596,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
70,1.183333395,+32.870845795,+38.563930511,+9.280866623,+3.305457592,+0.758420944,-0.536018372,+0.084054887,+0.253059804,-73.408027649,+73.408027649,+378.976074219,-0.443383306,-1.960937858,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
71,1.200000063,+32.768112183,+39.018611908,+9.257678986,+3.517323732,+0.791386068,-0.569033623,+0.083897360,+0.185509086,-77.897613525,+77.897613525,+391.042816162,-0.463963717,-2.235930920,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
72,1.216666730,+32.630561829,+38.912925720,+9.223553658,+3.701190948,+0.817368507,-0.596652985,+0.083490685,+0.110723637,-79.104278564,+79.104278564,+350.555603027,-0.431413919,-2.317638397,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
73,1.233333398,+32.530155182,+38.391681671,+9.173843384,+3.839351892,+0.828981757,-0.615654945,+0.083313003,+0.053822469,-75.055557251,+75.055557251,+254.576248169,-0.471537173,-2.190631628,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
74,1.250000065,+32.410549164,+37.431816101,+9.111040115,+4.005484104,+0.845401824,-0.637982368,+0.082151271,+0.078416340,-65.457626343,+65.457626343,+374.657440186,-0.505978644,-2.046526909,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
75,1.266666733,+32.277618408,+36.521537781,+9.046014786,+4.032823086,+0.834147990,-0.637766838,+0.081893772,+0.093992308,-77.465744019,+77.465744019,+240.878112793,-0.340731323,-1.926248312,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
76,1.283333400,+32.167491913,+35.784072876,+8.986214638,+4.081526279,+0.826263368,-0.641227722,+0.081584029,+0.135366321,-64.087814331,+64.087814331,+280.130554199,-0.430817842,-1.875799775,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
77,1.300000068,+32.095989227,+35.396633148,+8.933195114,+4.121745586,+0.825881541,-0.643747330,+0.081501193,+0.181611717,-68.013053894,+68.013053894,+273.292572021,-0.426951557,-1.852416515,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
78,1.316666735,+32.089641571,+35.425209045,+8.885156631,+4.084680557,+0.835742712,-0.634508133,+0.081800401,+0.226861566,-67.329246521,+67.329254150,+276.659790039,-0.441648960,-1.873094916,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
79,1.333333403,+32.124340057,+35.771770477,+8.841829300,+4.112676144,+0.833964348,-0.635756493,+0.082143635,+0.256156385,-67.665977478,+67.665977478,+311.020446777,-0.481340855,-1.883178115,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
80,1.350000070,+32.147567749,+36.316925049,+8.800104141,+4.170144081,+0.840071797,-0.641629219,+0.082521409,+0.277104676,-71.102043152,+71.102043152,+375.809631348,-0.518041432,-1.898741245,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
81,1.366666738,+32.114940643,+36.972980499,+8.758864403,+4.208497524,+0.844649673,-0.644516945,+0.083023198,+0.268789440,-77.580963135,+77.580963135,+372.806243896,-0.417300165,-1.946656227,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
82,1.383333405,+32.065837860,+37.555057526,+8.718607903,+4.301092625,+0.862944067,-0.655722618,+0.083145395,+0.244598210,-77.280624390,+77.280624390,+434.406677246,-0.450923413,-2.034870386,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
83,1.400000073,+31.990043640,+37.953739166,+8.679045677,+4.397612572,+0.882445455,-0.667452335,+0.083163902,+0.194140911,-83.440673828,+83.440673828,+415.952392578,-0.395728618,-2.118284225,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
84,1.416666741,+31.937147141,+37.394409180,+8.630797386,+4.565040588,+0.903743207,-0.689117432,+0.083742306,+0.221676812,-81.595245361,+81.595245361,+491.344024658,-0.433429122,-1.440804005,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
