# schema=jv-steering-release-trace/v1
# commit=4b6eb953b64660b3eec43b66efcc3343635fa66f tree=bd34d9abfef39b6cefbaac149dd02a5088a46679 dirty=false build_type=Release
# envelope=b3Wheel mode=5 steer=-0.400000 artificial_centering=false
step,time_s,left_angle_deg,right_angle_deg,forward_speed_mps,alignment_deg,yaw_rate_rps,lateral_speed_mps,rack_translation_m,rack_speed_mps,rack_motor_force_N,rack_max_force_N,tie_transverse_force_N,left_normal_axis_angular_impulse_N_m_s,right_normal_axis_angular_impulse_N_m_s,left_friction_axis_angular_impulse_N_m_s,right_friction_axis_angular_impulse_N_m_s,left_twist_axis_angular_impulse_N_m_s,right_twist_axis_angular_impulse_N_m_s,left_rolling_axis_angular_impulse_N_m_s,right_rolling_axis_angular_impulse_N_m_s,loaded_contact_points,contact_manifolds
56,0.950000050,-3.640851736,-2.793264151,+11.862031937,-0.969862878,-0.288680524,+0.200811386,-0.007390530,+0.055942520,-41.035720825,+41.035720825,+82.149459839,-1.169443607,+0.874627352,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
57,0.966666717,-3.505885839,-2.658059597,+11.860593796,-1.005015373,-0.279142231,+0.208065987,-0.006752918,+0.048385102,-48.214946747,+48.214946747,+89.668060303,-1.088087201,+0.892132640,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
58,0.983333385,-3.463747263,-2.491285563,+11.852215767,-1.044199705,-0.274110228,+0.216027260,-0.006438338,+0.040947832,-48.966804504,+48.966804504,+70.787170410,-1.202679753,+0.850240350,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
59,1.000000052,-3.465270758,-2.316225290,+11.841599464,-1.091761231,-0.261544764,+0.225667000,-0.006299196,+0.041468672,-47.078716278,+47.078716278,+32.566944122,-1.212291002,+0.835271597,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
60,1.016666720,-3.467792749,-2.159004450,+11.834814072,-1.130463243,-0.249527752,+0.233534813,-0.006220445,+0.041165724,-43.256694794,+43.256694794,+9.530443192,-1.232688308,+0.823991060,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
61,1.033333387,-3.456755400,-2.042372942,+11.833134651,-1.156241417,-0.239012107,+0.238827705,-0.006217431,+0.039639436,-40.953044891,+40.953044891,+15.987816811,-1.225612640,+0.842248023,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
62,1.050000055,-3.434957981,-1.980812788,+11.833908081,-1.167760015,-0.229686141,+0.241223335,-0.006260604,+0.039914127,-41.598781586,+41.598781586,+18.541996002,-1.219066620,+0.861086786,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
63,1.066666722,-3.409901857,-1.971295834,+11.833760262,-1.170456290,-0.222094119,+0.241777420,-0.006377021,+0.034271080,-41.854198456,+41.854198456,+18.779531479,-1.207670331,+0.875258148,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
64,1.083333390,-3.386528254,-2.029735565,+11.830356598,-1.170377374,-0.215421081,+0.241691589,-0.006452218,+0.036825113,-41.877952576,+41.877952576,+18.462911606,-1.202756882,+0.887696683,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
65,1.100000057,-3.360525608,-2.124812841,+11.824531555,-1.170806050,-0.208029747,+0.241661072,-0.006601202,+0.037234683,-41.846290588,+41.846290588,+19.647714615,-1.205680013,+0.888028383,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,+0.000000000,2,2
